,text
1577,"Newsletters and Magazines  Insight is currently the only active media body in the institute run voluntarily by students. Aawaaz was the media body for Hindi but is now dissolved.      Insight  If you like writing, have a flair for journalism and you want to work on high impact pieces that usher changes in the institute or simply want to publish a few leisure pieces for light reading and humour you would like to work with the student media body Insight. Insight publishes online content on their website along with offline newsletters which are delivered door to door. Watch out for their Freshmen specific newsletter, started from 2013, which you will be receiving in August!     "
1578,IIT Bombay Broadcasting Channel  IITBBC is a specific wing of Insight focussing on video coverage of events happening in the institute. If you are interested in real time coverage of news in the institute and working on video editing you should definitely work with IITBBC.     
1579,"EnSpace  E-Cell publishes a magazine EnSpace which aims to promote entrepreneurial awareness through an interesting mix of articles, interviews and informative pieces. You can find the EnSpace publications [here](https://ecell.in/enspace).  ] "
1580,[ The student community at IITB is an active and thriving one. The development and management of all student activities comes under the purview of Students' Gymkhana. It is instrumental in identifying student issues and promoting discussion on them. It functions as the office for all elections and nominations of students for gymkhana activities. There are several student bodies that work under the aegis of the Gymkhana. 
1581,",  Introduction  Excellence in sports is a direct index of the stature and intellectual maturity of an institute. IIT Bombay has always aimed to set a precedent for other institutions by laying utmost emphasis on the multifaceted development of its students and pushing them to raise the bar by striving to be ‘Citius, Altius, Fortius’. With a deeply ingrained sports culture and the ‘Right of Sports for all’ as a cornerstone of its Sports policy, the institute has, over the years, channelized its resources towards the development of a state of the art sporting complex that caters to over fourteen sports. All the facilities are helmed by seasoned training staff so that even beginners have a beautiful chance to learn the craft and their more experienced counterparts can receive the requisite guidance.     "
1582,"Facilities  IITB offers its students sports facilities of an international level with fully-furnished courts and high-quality equipment.      AQUATICS | ATHLETICS   ---|---   BADMINToN | BASKETBALL   BOARD GAMES | CRICKET   FOOTBALL | HOCKEY   KHO KHO | LAWN TENNIS   SQUASH | TABLE TENNIS   VOLLEYBALL | WEIGHTLIFTING   ADVENTURE SPORTS | DARK KNIGHT (CHESS)   Besides, every hostel has dedicated volleyball, badminton and basketball courts, cricket pitches and football fields, snooker, table tennis and foosball tables and is completely decked with various equipments which can be issued by students.     "
1583,"Sports for everyone  A passion for sports has always been a part of the very fabric of the institute. To ensure a healthy continuity of this tradition the Sports Council organises a multitude of sports and fitness camps that vary in the degree of professionalism (amateur, intermediate or advanced) as well as the rigour of instruction.     "
1584,"Moreover, to keep with dynamically evolving exercise regimens, workshops on modern forms like Zumba, Mixed Martial Arts and AquaYoga and target specific weight loss camps are conducted. And to satisfy the cravings of the adventure streak in all of us, there are regular excursions to the Himalayas, daunting treks and adrenaline pumping sports like rafting, rock climbing and mountaineering, with scuba diving plans in the pipeline.     "
1585,"The Government of India, through the National Sports Organisation, mandates that all incoming freshmen must undergo a structured training in a sport of their choice. At IIT Bombay, NSO forms an integral part of the curriculum and classes are offered in sports with biweekly instruction.     "
1586,"Aavhan  Aavhan is a three day extravaganza that brought together participants to combine the thrill of competition with the joy of sports. The state-of- the- art facilities at the institute played host to over three thousand sportspersons representing universities, clubs and organizations across the nation. Tough battles were waged across courts, fields and the pool in a bid to bring home the glittering trophies that were at stake in thirteen different sports.     "
1587,"The inaugural edition of Aavhan, IIT Bombay’s sports festival, which was held from 24 th May 2017 to 26 th May 2017,The fever that had engulfed the campus was tangible as all events witnessed large spectator turnout. Despite there being some of the finest talent from across the country for display, the IIT Bombay contingent refused to give any quarter and ensured that all their opponents had to toil and prove their mettle to emerge champions.     "
1588,"The extensive planning and relentless work that was put in by the Sports Council, the support staff and other authorities to get the sponsors on board and translate this long standing dream into a reality was evident from the flawless execution of the event. The grand success of the festival can be attributed to the way it managed to capture the passion to conquer and the quest for glory- the very essence of all sporting activity. Now that Aavhan is set to be an annual fixture, it only promises to get bigger, better and more entertaining and we couldn’t be more excited!     "
1589,"The Council  The responsibility for the efficient management of all issues pertaining to sports at the institute level rests with the Sports Council, an annually elected body. Helmed by the General Secretary, the council comprises 4 nominees, 14 sport-specific secretaries, 1 Technical Head, 1 Creatives Head and a Conveners.     "
1590,"Championships  At the institute level itself, a steady string of competitive events is organised throughout the year with tournaments on conventional sports, upcoming games as well as their modern improvisations. The General Championships are keenly contested as they bring budding talent into the spotlight besides resting on a traditional yet healthy inter-hostel rivalry as its bedrock. The ever increasing participation among girls has prompted the advent of a separate Girls GC which is now a permanent fixture. Outside of the mainstream GC framework, leagues and events are also organised periodically to allow players to hone and display their skills and to instil a sporting ethic among all students. For fostering a spirit of fraternity in the hostels, the Hostel Council holds multiple events to promote interaction across batches and departments.     "
1591,"Inter IIT Championships  Touted as the ‘Holy Grail’ amongst all the sports events, representing IITB at the Inter IIT Sports meet is the ultimate honour for any student at the institute. Each year, one of the seven older IITs plays host to contingents from the other campuses, with players in their quest for glory competing fiercely to lift the coveted trophy.     "
1592,"Moreover, considering the level at which the competition operates and the fact that it is the highest stature that can be associated with a sportsperson at the institute, getting to represent IITB at this event in the first year itself ought to be a matter of great honour and pride for any freshman.     "
1593,"In recent years, IITB won the Overall General Championships for 3 consecutive years 2007- 2009, and then again in 2012. The 50 th Inter IIT Sport Meet was hosted rather magnificently by the institute. That there have been several instances of individuals being crowned champions at the meet in sports they learnt only after joining the institute speaks volumes of how IIT Bombay provides ample opportunities to cultivate talent and nurture it.     "
1594,"The championship is held in December every year, with a separate aquatics meet in October. For the main meet, selection trials commence in October. Those selected become a part of the Inter IIT Training Camp which begins from 1 st December, continuing until the date of departure.     "
1595,"To know more about Sports at IIT Bombay, visit <https://gymkhana.iitb.ac.in/~sports/>.  ] "
1596,"[ Broken that toy to see how that spring worked? Unscrewed that FM receiver trying to make sense of how it works? Remember the sense of elation reading 'Hello World' on the screen? You are not alone. From circuit benders to stargazers, we have them all!     "
1597,"Technical Activities (or Tech) will provide you with an opportunity to put the theoretical knowledge gained in classrooms into practical use. Tech@IITB will enthrall and excite, and enthuse you to build, to create something of your own. After all, isn’t that why most of you are here?     "
1598,"The Tech Scene  The current scene at the institute provides a world of opportunity to excel in wide range of activities, ranging from funded personal projects to collaborative projects with premier institutions like the ISRO. Tech at the institute also involves a more exciting, competitive side including not only the Institute Tech GC but also winning participation in various Inter Collegiate Technical Festivals including our very own Techfest.     "
1599,"Events to look out for in freshman year:      * **XLR8** : This is your first hand at tinkering and building something on your own. You get your hands dirty to make a bluetooth operated robotic car for a competition with attractive prizes which is held late in August. But we warn you - the feeling you get in seeing something that you have made actually work is enthralling as hell!    * **Scratch Day** : Dive head first into programming with a fun game building competition held among all freshmen. Scratch is a visual programming language that provides an easy way to start coding even if you haven’t done any before. Watch out for pizzas and prizes to be won!    * **Mathathon** : Show off your mathematical prowess; level up as you pass through multiple stages of difficulty in this marathon math problem solving contest. This is the ultimate showdown for all you math lovers.    * **Bazinga** : Go beyond usual problems in physics and maths and put your thinking abilities to test as you answer interesting conceptual questions in this team based quiz contest. If you are a fan of pure thought and imagination, this event is for you.    * **Line Following Bot competition** : Held in the first week of January, it will introduce you to more advance electronics stuff like control algorithms, microcontrollers and sensors. It is not only a platform to automate but to innovate as well.    * **Web Designing** : Be ready to unleash your creativity and your coding prowess to design awesome websites. Get a chance to feature on the WnCC website zone this October with your website design.    * **RC Plane Competition** : Held in September and October, this competition involves designing, building and flying a radio-controlled airplane. You will be introduced to the basics of what makes an airplane fly (hint: not magic), including Aerodynamics and Flight Dynamics.    * **Trip to Giant Metrewave Radio Telescope (GMRT)** : Watching the night sky and the stars slowly changing position as the earth revolves is a wondrous experience and observing this at GMRT, Pune is a once in a lifetime opportunity. We will be taking more than 10 telescopes so all of you can learn to handle a telescope and enjoy the night sky. Also, you might get an opportunity to attend lectures of great astrophysicists at NCRA, Pune.    * **General Astronomy Quiz (August)** : An open institute quiz where all the astro enthusiasts gather and showcase their ‘dexterity’ in the fields of Observational, Theoretical Astronomy. Usually takes place in the first month of the Odd semester, the General Astronomy Quiz comprises of fun, tricky, puzzling questions which require rather simple concepts in Astronomy, Physics but indeed a lot of common sense. Loads of interesting prizes at stake!    * **Tech Weekend** : In the beginning of February, be prepared for some heavy Tech action as a slew of workshops and competitions over a weekend put you in a state of Tech nirvana.    * **Institute Technical Summer Projects** : Over the summers, several freshmen and seniors alike stay back in the Institute for some heavy-duty tech action. It is a platform for you to test your tech mettle and build uber-cool stuff you have always thought should exist. The Technical Council gives you everything you need to give wings to your dream ideas be it a Humanoid Robot or a Quadcoptor like in movie 3 Idiots. Anythings is possible!    * **Summer of Science** : SoS is an initiative to help you explore those fields in science that you always wanted to learn, but couldn't, due to lack of proper guidance or resources.    If you have an idea; anything ranging from particles to galaxies, from algebra to geometry, we’ll find you a mentor, with sufficient experience on the topic, to guide you on your quest, for the whole duration of summer. At the end of the summer, you can share your knowledge, via a report with the entire scientific community at IITB to learn from.   As with most things MnP, curiosity and enthusiasm are the only pre-requisites. "
1600,"  * **Crime Scene Investigation** : The Crime scene where you become the detectives. Show away your investigating skills in the forensics. This is your first encounter with biotechnological application!      Apart from these major events, several others keep going on throughout the year under the different technical clubs mentioned below. The clubs listed below come under the umbrella of the Institute Technical Council (ITC) called Students’ Technical Activities Body (STAB) earlier.     "
1601,"Aeromodelling Club  The Aeromodelling Club is a vibrant Community of aerospace enthusiasts who wish to incite a passion for flying and the science of flying in institute junta, and celebrate more than a century of mankind’s advances into the third dimension. By organising a plethora of events ranging from lectures to Workshops and Flying competitions, we hope to see more people understanding, and fascinated by, the wonders of flight.     "
1602,"      Biotech Club  The BioTech Club is a student organisation which through its events, workshops, talks and group discussion strives to increase in students the level of enthusiasm and knowledge for Biotechnology and bioengineering and therefore making a Community of bio-enthusiasts. We Aim to establish a link between Biology and Engineering, so that engineers could enjoy biology and contribute towards it.     "
1603,"      Electronics and Robotics Club  We are a student club of IIT-B who introduce all the new minds and beginners in IIT to the amazing world of Electronics and Robotics. We also provide a knowledge and resource sharing platform for enthusiastic student Community. If you have an idea and are not worried about getting your hands dirty, come to us. We provide whatever you need to help you fuel your imagination. It ain’t about what you know but about your will and guts to learn something new.     "
1604,"      Energy Club  Energy is all around us, it’s everywhere, Ever wondered how your phone is powered all day? or what is it that makes electric cars so efficient? Ever wondered how you can manage your house power consumption, why there are so many types of batteries, how solar cells work, what are green buildings, how the energy policies affect us and the environment?     "
1605,"If you are an energy enthusiast or environment lover or just a curious being, the Energy club welcomes you. We discuss everything from climate to cars, from batteries to economics, from power to policies to possibilities. We conduct lectures, workshops, documentary screening and informal discussions on non- conventional technologies. Come, join us, the future is counting on you.     "
1606,"To know more about us, visit our website <https://enclub.github.io/home/>.      Krittika - The Astronomy Club  IIT Bombay’s focal point for amateur astronomers and stargazers, Krittika (ASTRONOMY CLUB, IIT BOMBAY), organizes weekly lectures on various domains of Astronomy, Astrophysics along with observation sessions, organizes observational trips to Observational sites and Planetariums which prove to be a once in a lifetime experience for many. The club boasts of a few telescopes which are used during the observations like comet sightings, messier marathons, etc.     "
1607,"      Math & Physics Club  The Maths and Physics Club of IIT Bombay, is a Community to celebrate the sciences we revere in their purest of forms, undiluted and in all their grandeur. We cater to stimulate your brains with the best intellectual events, quizzes, symposiums, lectures & to keep the streak of curiosity level with knowledge by introducing you to labs in and off the campus with exquisite research work and setting you off to build your own experimental setups, funded by us. The best fodder to develop oneself is a perseverant thought process, our fortnightly group discussion sessions (popularly abbreviated to GDs) and exclusive documentary screenings leave you with ancillary knowledge and questions to let in those science loving bees in your bonnet. And for those dulled by methodical cakewalk problems, we have a purely conceptual flagship quiz event, Bazinga!, followed by our very own Mathematics Olympiad and Logic General Championship to the delight of connoisseurs of pure reason.     "
1608,"All in all, we are a self-sustaining Community of intellectuals, students & professors, across ages and departments, who enjoy sharing knowledge through platforms provided by our club and if you talk Physics and Maths, there is no better place for you than the Maths and Physics Club, IIT Bombay.     "
1609,"To know more about us, visit our website <http://mnp-club.github.io/>.      WnCC - Web and Coding Club  Web and Coding Club is one of the biggest clubs of IIT Bombay. As a part of the Institute Technical Council, we aim to provide a gateway for the people in our institute to join the coding Community. We create a platform which allows students to gain assistance and mentorship to enhance their coding ability. Our aim is to propagate the enthusiasm for coding in the institute and especially amongst freshmen. We believe that every student here at IITB should have an opportunity to learn how to code and develop a passion for it. The secret of getting ahead is getting started and we aim to provide every student with the right start.     "
1610,"We conduct sessions and workshops, hold lectures and talks, and even host coding competitions and hackathons. There is something for everyone. Whether you want to learn, participate in hackathons and win big prizes, or prepare for the ACM-ICPC and GSoC, you can do it all here. We have a list of events planned up for the coming year. Keep watching this space to know more.     "
1611,"To know more about us, visit our website <http://www.wncc-iitb.org/>.      We also have an educational wiki, meant to help beginners get started with programming. It’s got a large number of tutorials, on various programming topics. All tutorials are hand-tailored by students of IIT Bombay. However, unlike conventional programming tutorials, these take a slightly different approach. Rather than reinventing the wheel, Grundy aims at bringing together a number of online tutorials and resources along with a set of pre-requisites and motivation to learn a programming skill. We also have exhaustive lists of our community resources, projects and GSoC recommendations.     "
1612,"Here’s a detailed summary about how the wiki was built.Check it out here   <https://wncc-iitb.org/wiki>      Tinkerers’ Lab  A tinkerer is one who enjoys experimenting with machines. If you are a tinkerer who loves to work, who wants limitless hands-on experience or is turned on by machines and technology, this lab is just the right place for you. Tinkerers’ Lab was established with the vision to provide hands on experience to help students become innovators so that creative ideas get converted into actual engineering products. It has been equipped with the latest workstations of electrical and mechanical tools including power mechanical machines, electronic test instruments, 3D modelling software,several basic electronic equipment etc. This Lab is open to all students of the Institute, irrespective of their discipline, and is accessible 24×7.     "
1613,"To know more about us, visit our website <https://tinkerers-lab.org/>.      Technovation  Technovation is a unique Innovation Program at IIT Bombay. The term innovation derives from the Latin innovatio, ""to renew or change"" from (in- ""into"" + novus""new""). The program aims at providing you the platform to work on fascinating engineering projects, fully funded and mentored by senior students. It’s a unique opportunity for every innovative person out there to leave his mark on the technical scene. Have you ever wondered whether your school could have its own Marauder’s Map or have you felt the need for your very own Remembrall? Well we think it is indeed possible and we are working to make that possible. Technovation offers a wide range of challenging and innovation driven projects.Some of the past successful projects are Book Keeping Robot, Parinat (Humanoid).     "
1614,"Exo-Fly  Exofly is a group of specialized students from multiple disciplines working together as a technical team. ExoFly means Exoskeleton for flight. The team aims to foster the development of a safe, quiet, ultra-compact, near VToL personal flying device, which is capable of flying 20 miles in one go. The device is designed to fly at an altitude of ~200 meters from the ground with a cruising speed of ~70 kmph, to accommodate a single person and function safely to fly at all locations all over the globe. The device ought to be lightweight and maneuverable enough with the goal that anybody can fly it around and quiet enough for user and the general population.     "
1615,"UMIC  Unmesh Mashruwala Innovation Cell is a student run team comprised of tech enthusiasts who believe that innovation can help make the world a better place. UMIC is the only team in the insti to work on multiple fronts, from autonomous drones and driverless cars to robowars bots and all terrain vehicles.     "
1616,"UMIC represents IIT Bombay in various national and international competitions. In the past, we have won the Intelligent Ground Vehicle Competition (USA, 2016), ASME Student Design Competition-World Finals (USA, 2017). We also won the best paper award in IARC (2018, China) and secured first position in ASME- SDC Asia-Pacific recently in 2019.     "
1617,"Currently, we have focused our attention on one of the most glittering topic of technological innovation i.e. using artificial intelligence for making fully autonomous car and drones! We are among the 11 top teams out of the original 256 to have received a Mahindra E2O car for Mahindra Rise Driverless Car Challenge. Apart from Rise, we are working on self flying drones for participating in Mission 8 of International Aerial Robotics Competition(IARC).     "
1618,We look forward to having enthusiastic and smart working people in the team! The only prerequisite is the thirst for doing something that has never been done before!   Please visit our website <http://www.umiciitb.com> for more information.     
1619,"Advitiy - The IIT Bombay Student Satellite (Previously, known as Pratham)  IIT Bombay can now boast of the rare privilege of being one of the very few universities world wide to have successfully launched its own satellite. Christened Pratham, being IIT Bombay's first foray into space technology, the satellite's payload was to produce data on the total electron count in the atmosphere, used for applications like GPS correction. Planned, designed, built and tested exclusively by the students, with guidance from Indian Space Research Organization (ISRO) and IITB faculty, the completely autonomous satellite Pratham took IIT Bombay into the elite space club on 26th September 2016, when it was launched by ISRO on board the PSLV C-35. The team has now begun the next chapter in the Student Satellite Project of IITB and work has begun on Advitiy, the second satellite. The team has also built an autonomous groundstation at IIT Bombay for tracking and communicating with satellites. With groundstation workshops, HAM Club and various other related activities, the Project also aims to involve other universities across India and spread the knowledge accumulated by the team over the years as a part of the social goal. The current teams looks forward to having curious, industrious and enthusiastic freshmen from the new batch join in the efforts on both Advitiy and the other satellites to be developed at the institute and also help achieve the social goal of the Project.     "
1620,"IIT Bombay Racing  The IIT Bombay Racing Team builds electric race cars that are the entries of the institute in international student competitions like Formula Student, a breeding ground for future race-car engineers, designers and managers. The event is held at the legendary Silverstone Formula 1 race circuit in the UK.The car they have built is not a beast, it's 400 V of sheer elegance, that goes 0-100 before you can finish saying 3.47 seconds. But do you have what it takes to make one which can make every previous car look like an old jalopy, to build an engineering marvel, a piece of art. Your dream to build a true engineer's car awaits you at IIT Bombay Racing!     "
1621,"You will get to learn technical skills with practical experience to boost your knowledge, in addition to that skills in marketing, sales and project management.   To know more about us, visit our website <http://www.iitbracing.org>!     "
1622,"Team Shunya  The team comprises of students from various disciplines like Energy, Mechanical, Civil, Electrical and Architecture with a vision to sustainably meet the growing demand and need for urban housing in India. The team participates in the Solar Decathlon competition, an international student competition that takes place every two years. The Solar Decathlon challenges 20 collegiate teams to design, build, and operate the most attractive, effective, and energy-efficient solar-powered house. The winner of the competition is the team that best blends affordability, consumer appeal, and design excellence with optimal energy production.     "
1623,"You can find more details at <http://teamshunya.in/home.php>      IIT-B Mars Rover Team  The IITB Mars Rover Team, a part of the Mars Society India (MSI), is a team of space enthusiasts looking to build space grade technologies for future manned missions to Mars. Our primary goal is to build a robust, all terrain and remotely operated rover for Martian exploration. We are a relatively young tech team, and have been working on rover prototypes for participation into URC (University Rover Challenge), an annual competition held in Utah, USA, since 2014. We are currently building a rover prototype (pic shown below) to perform all the necessary tasks on a Mars mission such as terrain traversing, astronaut assistance, autonomous navigation and soil sampling & analysis. Apart from this, our rover can have many earthly applications such as in agriculture and defence for unmanned surveillance.     "
1624,"Have a look at <https://iitbmartian.github.io> for further information and latest updates about the team.      Autonomous Underwater Vehicle  The team works towards participating at AUVSI Robosub Competition, which is held annually in July at San Diego, California. The competition is a platform for students to display their skills in underwater robotics and build a connection with industries working along similar verticals. The competition demands designing and manufacturing of an unmanned autonomous underwater vehicle that can perform predefined tasks. This draws upon expertise of the areas of engineering provided by multifaceted team.     "
1625,"To know more about us, visit our website <http://www.auv-iitb.org>.      Inter College Festivals  There are a lot of local college festivals which are very accessible to freshman teams from the Institute. More details on these will be available through their specific website and through the STAB website. IIT Bombay also has a strong tradition of winning participation at Techfest. Some problem statements at Techfest are again very accessible to freshman. More details about these are available on the Techfest website and through various sessions held at both the hostel and institute level.     "
1626,"Where to Begin  Apart from Technical Orientation at the start of the year, most clubs and teams will have their individual orientations and beginner level events. Keep an eye out for posters on the Hostel Notice Boards. In addition all the clubs have dedicated web-pages, facebook pages and online discussion boards where activities are discussed in great detail. It would be a great idea to sign up for these. In addition feel free to contact the individual club conveners to help you out with your queries.     "
1627,"Most hostels also have Tech Rooms which are accessible through contact with Technical Secretary. Finally, some of the Institute labs may be made accessible for personal use after contacting the person in-charge.     "
1628,Another great idea to stay in touch with Tech is to engage yourself in one of the various projects running through the Institute. Apart from these one can also float personal projects which can be coordinated with either UMIC or one of the hobby clubs depending upon the exact idea in question.     
1629,**Note** : Most of the newsgroups are Google groups and it would be a nice idea to sign up for a Google account if you don't have one yet. Here we have barely scratched the surface of the scope of Tech at IITB. More detailed information is readily available on the club web pages and newsgroups. 
1630,] 
1631,"[ NSS     **NSS IIT Bombay**   How many times have you thought that you wish to give something back to society and country? How many times have you thought that I will surely start when the right time comes? Well, as they say, the best time to start was yesterday and the next best time is now! NSS IIT Bombay gives you an opportunity of contributing to Community service while the time you invest also contributes towards fulfilling your academic requirements.     "
1632,"**What is NSS?**   As part of NOCS01 and NOCS02 (Compulsory courses for passing out of IIT Bombay), you can opt for NSS, NSO or NCC. Thus NSS (National Service Scheme) becomes part of your curriculum during your first year where you invest your time for the betterment of society around you. NSS IIT Bombay is the largest volunteer group inside campus working in the field of Community service and has been working in various fields. Education of underprivileged kids, improving their lifestyle, maintaining the biodiversity, using engineering knowledge to improve the innovations by uneducated, sustainable development are a few of the areas.     "
1633,"NSS organises sessions on daily basis. First year students have the responsibilities like teaching school subjects and other extra curricular activities to the children, planting tree saplings for specific purposes and maintaining them, innovating different activities like how can we reuse the trash, making something useful from trash, surveying and suggesting improvements in innovations by grassroot innovators, meeting underprivileged people like construction workers, understanding their problems and working towards solving them, creating content for NSS YouTube channels (Open Learning Initiative -an initiative to make educational content available in regional language and Voice for Purpose - an initiative for making audiobooks available for visually challenged). These are just a few activities among the many activities you can participate.     "
1634,"First year students, when selected in NSS, are allotted a department inside NSS according to their preferences and the team guides them regarding all the activities. If you have never experienced the joy of giving and want to explore the ecstasy of doing something selflessly, this is the right place to invest your time in!     "
1635,"For more details, you may visit [NSS IIT Bombay website](https://nss.iitb.ac.in/home/) or facebook page.      SARC  What distinguishes this college from many others & makes it renowned all over the world? It is our alumni who have achieved great heights in myriad fields and made a mark for themselves in this super-competitive world. But how do we effectively utilize this wealth of knowledge, success and fame that our alumni have achieved? That is where SARC comes in.     "
1636,"Student Alumni Relations Cell (SARC) is an organization run by the students of IIT Bombay. Unlike other student bodies, it is an Institute Body (which means that it is officially supported and formed by the college) which works with the Dean ACR Office & IITB Alumni Association. It is dedicated to strengthening the bond between students and alumni. SARC has been able to gather donations from our alumni for the last many years, which include scholarships, funds for construction and research, allowances for workers, and many other programmes!     "
1637,"SARC conducts several initiatives in its flagship event, Alumination, like Mock Interviews, Group Discussions, Speed Mentoring, Workshops, etc. which help students to interact with alumni in person & get both career & general life guidance. SARC has also launched Alumni Student Mentorship Program (ASMP), whose aim is to allot alumni mentors to students to help them make crucial life-changing decisions. Phonathon allows students to have one-on-one telephonic conversations with alumni. We conduct Reunions as well, where alumni revisit old memories and cherish their everlasting bonds. Anyone involved with SARC gets the golden chance of duologues with eminent and distinguished alumni like Nandan Nilekani, Jairam Ramesh, Pranav Mistry, Bhavish Aggarwal and several others. By executing alumni-driven initiatives for the benefit of students and enabling a mutually fruitful relationship between students and alumni, SARC volunteers get an insider’s view into the alumni’s world. Everyone is encouraged to be a member of the SARC family and get the invaluable experience of fraternizing with alumni and learning from them!     "
1638,"To know more visit us at:   [www.sarc-iitb.org/](https://www.sarc-iitb.org/)   [www.facebook.com/SARC.IITB/](https://www.facebook.com/SARC.IITB/)      Saathi  With the onset of puberty, one grows more conscious of the changes happening in their own body as well as their feelings towards others. Unlike others, some of us may not feel comfortable with the gender assigned to us at birth. Similarly, not everyone is attracted only to people of the opposite sex. Some labels commonly used by people to describe themselves are lesbian, gay, bisexual, asexual, transgender, intersex, and queer. Collectively, people who lie outside the typical gender identity and sexuality are known as the LGBTQ+ community. Being a minority, they feel alone, confused and excluded from the mainstream. They may also face discrimination and bullying on revealing their preferences. At IIT Bombay, however, no student needs to feel alone.     "
1639,"Saathi (‘companion’) at IIT Bombay is an LGBTQ+ support and resource group. We are committed to providing a community for LGBTQ+ individuals on campus. We organize events all through the year such as workshops, awareness days, movie screenings and informal meetups. Most of these events are open to all, irrespective of gender identity or sexual orientation. Even if you identify as straight (as many of our members do), these events will be a great place to know more about the community and learn how to be great allies and support your LGBTQ+ friends.     "
1640,"All our events are safe spaces wherein we even do not ask anyone their sexuality or gender identity. However, we understand that you may be apprehensive of your identity being disclosed outside the group. You can still get in touch with us via e-mail or Facebook. To remain up-to-date with our events and other information, join our Google group, look up ‘Saathi, IIT Bombay’ on Google Groups or send an email at [saathi- iitb+subscribe@googlegroups.com](mailto:saathi- iitb+subscribe@googlegroups.com). If required, you can also contact us on +91-7738452988, with your anonymity completely assured.     "
1641,"We invite you to be a part of Saathi, irrespective of your gender or orientation. We hope that your stay at IIT Bombay will be as bright and vibrant as the colours of the rainbow!   <http://www.facebook.com/saathi.iitb>   [saathi.iitbombay@gmail.com](mailto:saathi.iitbombay@gmail.com)     "
1642,"NCC  NCC IIT Bombay intends at developing patriotism, brotherhood and discipline in the cadets, thereby creating dynamic and visionary leaders of future India.   NCC IIT Bombay strives to fulfil the following aims: "
1643,"  * **Leadership qualities**    Create a human resource of organized, trained and motivated youth, to provide leadership in all walks of life and be always available for the service of the nation. "
1644,"  * **Personality development**    Develop character, comradeship, discipline, leadership, secular outlook, the spirit of adventure, and ideals of selfless service amongst the youth of the country.    * **Motivation**    Provide a suitable environment to motivate the youth to take up a career in the armed forces. "
1645,"      E-Cell  IIT Bombay is the Institute which not only creates Best Engineers but also contributes predominantly in the creation of India’s Silicon Valley. E-Cell has been consistently working in enhancing the entrepreneurial ecosystem both inside and outside IIT Bombay. They aim at encouraging students to rise above the job-centric culture and become frontline entrepreneurs, thereby also help the motivated ones by giving them most of the resources they need. E-Cell's main initiatives include Eureka! and E-Summit which has been glorified by the presence of Nandan Nilekani, Sachin Bansal, Travis Kalanick, Kiran Shaw, Aman Gupta, and many more successful entrepreneurs and leaders from across the globe. At E-Cell, you will not only see your ideas come to life but will also be empowered to make those ideas seen by the best and get rewarded.     "
1646,"To know more about ongoing events please visit [Click Here!](https://www.instagram.com/iitbombay_ecell/)            Mood Indigo  One of the many things that makes IIT Bombay stand out from other colleges across India is the scale of its cultural festival. Held in December every year, with a footfall of over 1.2 Lakh pouring in for more than 200 events- Mood Indigo or Mood I (as we lovingly call it) has become the largest college cultural festival in Asia! The ideology is to bring the entire world to one place, providing opportunities to all enthusiasts and making the 4 days the best days of the year for the audience and workforce alike! Mood I caters to the most talented students from 1600 colleges across the world through magnificent competitions and provides exposure to an unending list of international artists like Mike Portnoy, Porcupine Tree, Katatonia, Sander Van Doorn and Indian legends and Bollywood heartthrobs like Shankar-Ehsaan-Loy, Aamir Khan, Asha Bhosle, Ustad Zakir Hussain, Jagjit Singh etc. At Mood Indigo, you will see your ideas come to life, live the dream of handling professional artists, organize entire events and make the best friends for life- A must for your freshie year!     "
1647,"To know more about mood indigo please visit <https://moodi.org/>            Techfest  Techfest welcomes you all to IIT Bombay! Techfest is Asia's largest annual science and technology festival. Started in 1998, with the motto of promoting science and technology, Techfest has surpassed 23 golden years of creating an unmatched aura of a science and technology spectacle year after year.     "
1648,"Attracting a footfall of more than 1,75,000 and with a reach of over 2500 national and 500 international colleges, Techfest provides an international platform to the youth to showcase their talents and expertise in fierce competitions, display cutting edge technology and research from all over the globe, as well as interact with world-renowned personalities like Dr. A.P.J. Abdul Kalam, His Holiness The Dalai Lama, Jimmy Wales, Amartya Sen. The grandeur of the international night shows, along with its fun setups keep the spirit of the festive feel alive throughout the 3 days, and this is what makes it so different, so mighty.     "
1649,"Techfest also takes up numerous social initiatives throughout the year, which have been supported by the likes of Sonakshi Sinha, Arjun Kapoor, Prachi Desai, Taapsee Pannu, Yami Gautam, and many others.     "
1650,"Techfest is all about the concept of “One Team ”. You don’t need to be a tech enthusiast to be a part of the Techfest. Come and be a part of the integral Techfest family and, in the process, meet your idols, have fun, get your ideas implemented, create a global social impact, and make new lifelong friends.     "
